 frequency         mag               pha              
 1.5848931925e+10  1.6511840426e-06 -2.5826919672e+02 
 1.7782794100e+10  1.4802274595e-06 -2.6280951461e+02 
 1.9952623150e+10  1.3345816882e-06 -2.6718084961e+02 
 2.2387211386e+10  1.2104512557e-06 -2.7139796317e+02 
 2.5118864315e+10  1.1048065452e-06 -2.7546783282e+02 
 2.8183829313e+10  1.0151923382e-06 -2.7938845200e+02 
 3.1622776602e+10  9.3958870394e-07 -2.8314829426e+02 
 3.5481338923e+10  8.7631101870e-07 -2.8672664812e+02 
 3.9810717055e+10  8.2393988923e-07 -2.9009496579e+02 
 4.4668359215e+10  7.8127429144e-07 -2.9321923667e+02 
 5.0118723363e+10  7.4730266301e-07 -2.9606322337e+02 
 5.6234132519e+10  7.2118733161e-07 -2.9859224031e+02 
 6.3095734448e+10  7.0225786429e-07 -3.0077706670e+02 
 7.0794578438e+10  6.9000898375e-07 -3.0259759020e+02 
 7.9432823472e+10  6.8409882263e-07 -3.0404584372e+02 
 8.9125093813e+10  6.8434361488e-07 -3.0512816665e+02 
 1.0000000000e+11  6.9070560785e-07 -3.0586624370e+02 
