 frequency         mag               pha              
 5.0118723363e+06  1.8976258724e+00  7.9656068957e+01 
 5.6234132519e+06  1.6853781488e+00  7.8409204277e+01 
 6.3095734448e+06  1.4955703702e+00  7.7020919396e+01 
 7.0794578438e+06  1.3257129434e+00  7.5477629024e+01 
 7.9432823472e+06  1.1735913390e+00  7.3765487863e+01 
 8.9125093813e+06  1.0372397916e+00  7.1870809559e+01 
 1.0000000000e+07  9.1491892899e-01  6.9780644711e+01 
 1.1220184543e+07  8.0509678885e-01  6.7483538158e+01 
 1.2589254118e+07  7.0643269231e-01  6.4970466560e+01 
 1.4125375446e+07  6.1776308303e-01  6.2235927908e+01 
 1.5848931925e+07  5.3808823311e-01  5.9279106867e+01 
 1.7782794100e+07  4.6655836097e-01  5.6104984793e+01 
 1.9952623150e+07  4.0245771655e-01  5.2725202328e+01 
 2.2387211386e+07  3.4518536644e-01  4.9158449593e+01 
 2.5118864315e+07  2.9423226214e-01  4.5430168000e+01 
 2.8183829313e+07  2.4915540239e-01  4.1571429562e+01 
 3.1622776602e+07  2.0955132082e-01  3.7617009540e+01 
 3.5481338923e+07  1.7503215346e-01  3.3602854190e+01 
 3.9810717055e+07  1.4520762879e-01  2.9563304112e+01 
 4.4668359215e+07  1.1967525314e-01  2.5528508420e+01 
 5.0118723363e+07  9.8019131652e-02  2.1522412285e+01 
 5.6234132519e+07  7.9815927446e-02  1.7561557405e+01 
 6.3095734448e+07  6.4645205525e-02  1.3654737132e+01 
 7.0794578438e+07  5.2101103207e-02  9.8033768343e+00 
 7.9432823472e+07  4.1802816476e-02  6.0023993167e+00 
 8.9125093813e+07  3.3402374349e-02  2.2412951072e+00 
 1.0000000000e+08  2.6589168554e-02 -1.4948586288e+00 
 1.1220184543e+08  2.1091452564e-02 -5.2246160264e+00 
 1.2589254118e+08  1.6675443235e-02 -8.9697026368e+00 
 1.4125375446e+08  1.3142792154e-02 -1.2754843833e+01 
 1.5848931925e+08  1.0327136766e-02 -1.6607727087e+01 
 1.7782794100e+08  8.0902879881e-03 -2.0558860658e+01 
 1.9952623150e+08  6.3184301448e-03 -2.4641072049e+01 
 2.2387211386e+08  4.9185482939e-03 -2.8888459516e+01 
 2.5118864315e+08  3.8151798820e-03 -3.3334747704e+01 
 2.8183829313e+08  2.9475172675e-03 -3.8011160825e+01 
 3.1622776602e+08  2.2668555051e-03 -4.2944059768e+01 
 3.5481338923e+08  1.7343703899e-03 -4.8152661371e+01 
 3.9810717055e+08  1.3192110721e-03 -5.3647167692e+01 
 4.4668359215e+08  9.9689106967e-04 -5.9427588165e+01 
 5.0118723363e+08  7.4795876209e-04 -6.5483454904e+01 
 5.6234132519e+08  5.5692370321e-04 -7.1794512167e+01 
 6.3095734448e+08  4.1140978388e-04 -7.8332324418e+01 
 7.0794578438e+08  3.0150154990e-04 -8.5062621797e+01 
 7.9432823472e+08  2.1924709982e-04 -9.1948130634e+01 
 8.9125093813e+08  1.5828101966e-04 -9.8951635885e+01 
 1.0000000000e+09  1.1353428634e-04 -1.0603907358e+02 
 1.1220184543e+09  8.1004367580e-05 -1.1318249495e+02 
 1.2589254118e+09  5.7566324252e-05 -1.2036272755e+02 
 1.4125375446e+09  4.0812827795e-05 -1.2757148098e+02 
 1.5848931925e+09  2.8916451325e-05 -1.3481256336e+02 
 1.7782794100e+09  2.0511035294e-05 -1.4210188216e+02 
 1.9952623150e+09  1.4590651932e-05 -1.4946605768e+02 
 2.2387211386e+09  1.0425237370e-05 -1.5693976394e+02 
 2.5118864315e+09  7.4918465907e-06 -1.6456222978e+02 
 2.8183829313e+09  5.4201130771e-06 -1.7237354907e+02 
 3.1622776602e+09  3.9501268983e-06 -1.8041145784e+02 
 3.5481338923e+09  2.9007274173e-06 -1.8870902896e+02 
 3.9810717055e+09  2.1461853657e-06 -1.9729339663e+02 
 4.4668359215e+09  1.5993984070e-06 -2.0618530202e+02 
 5.0118723363e+09  1.1999833960e-06 -2.1539906691e+02 
 5.6234132519e+09  9.0595157145e-07 -2.2494259981e+02 
 6.3095734448e+09  6.8794867932e-07 -2.3481717302e+02 
 7.0794578438e+09  5.2530020879e-07 -2.4501689684e+02 
 7.9432823472e+09  4.0331061378e-07 -2.5552798123e+02 
 8.9125093813e+09  3.1142508252e-07 -2.6632797901e+02 
 1.0000000000e+10  2.4197995223e-07 -2.7738524110e+02 
 1.1220184543e+10  1.8935215689e-07 -2.8865878739e+02 
 1.2589254118e+10  1.4937758091e-07 -3.0009871515e+02 
 1.4125375446e+10  1.1894977671e-07 -3.1164715033e+02 
 1.5848931925e+10  9.5739391035e-08 -3.2323963125e+02 
 1.7782794100e+10  7.7994572912e-08 -3.3480674726e+02 
 1.9952623150e+10  6.4396239390e-08 -3.4627586534e+02 
 2.2387211386e+10  5.3951198267e-08 -3.5757286100e+02 
 2.5118864315e+10  4.5912087702e-08 -3.6862387995e+02 
 2.8183829313e+10  3.9716866161e-08 -3.7935722713e+02 
 3.1622776602e+10  3.4942912345e-08 -3.8970546480e+02 
 3.5481338923e+10  3.1272222485e-08 -3.9960769780e+02 
 3.9810717055e+10  2.8465100160e-08 -4.0901187807e+02 
 4.4668359215e+10  2.6340353632e-08 -4.1787684328e+02 
 5.0118723363e+10  2.4760471355e-08 -4.2617377802e+02 
 5.6234132519e+10  2.3620593874e-08 -4.3388687794e+02 
 6.3095734448e+10  2.2840363114e-08 -4.4101317829e+02 
 7.0794578438e+10  2.2357921830e-08 -4.4756169902e+02 
 7.9432823472e+10  2.2125473687e-08 -4.5355216012e+02 
 8.9125093813e+10  2.2105922239e-08 -4.5901348035e+02 
 1.0000000000e+11  2.2270211278e-08 -4.6398212039e+02 
